trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,blend_low_expert_weight_percent,main_tuned_best_iteration,selected_main_config,selected_blend_low_expert_weight,selected_blend_other_weight
80,blend_low_020,2.5834839599059123,1.1347819685409188,3.297499739556209,6.8298468137255,1054.504,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
58,blend_low_020,2.584061385190985,1.135185266958432,3.255272727272734,6.821009339080461,1054.508,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
79,blend_low_010,2.5850698835404176,1.1349459929374517,3.2459809054511872,6.724534220532324,1034.988,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
57,blend_low_010,2.5853434147976384,1.13495961902031,3.25,6.733419823559943,1034.992,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
81,blend_low_030,2.594587796616913,1.1360692976511824,3.39202385641834,7.000106837606838,1074.388,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
56,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
59,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,,
60,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
61,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
62,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
63,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
64,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
65,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
66,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
78,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
82,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
83,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
84,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
85,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
86,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
87,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
88,residual,2.5947989807412832,1.1335176205120394,3.289892528122933,6.6042932604735896,1015.836,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
47,blend_low_020,2.595064715965124,1.1350143550561185,3.319627184142122,6.878308823529424,1052.212,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
69,blend_low_020,2.59534050799683,1.1349748950269216,3.3668421052631587,6.918129182645319,1052.212,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
46,blend_low_010,2.597721365268596,1.1344094676079497,3.287012145748991,6.6861728599867405,1032.456,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
68,blend_low_010,2.597839878228622,1.134277967971925,3.2857142857142856,6.6861728599867405,1032.456,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
