trial_residual_rounds,trial_blend_weight,candidate,public_mean_q_error,public_p95_q_error,public_max_q_error
500,0,main_tuned,3.066661489396052,7.092275978937075,1630.004
500,0,residual,2.7556674318855916,6.729797979797989,1372.964
500,0,dynamic_gate,2.6556740515946555,6.583998105318178,1370.208
500,0,blend_low_000,2.7556674318855916,6.729797979797989,1372.964
500,10,main_tuned,3.066661489396052,7.092275978937075,1630.004
500,10,residual,2.7556674318855916,6.729797979797989,1372.964
500,10,dynamic_gate,2.6556740515946555,6.583998105318178,1370.208
500,10,blend_low_010,2.7332358124940206,7.0,1396.436
500,20,main_tuned,3.066661489396052,7.092275978937075,1630.004
500,20,residual,2.7556674318855916,6.729797979797989,1372.964
500,20,dynamic_gate,2.6556740515946555,6.583998105318178,1370.208
500,20,blend_low_020,2.7207892963545124,6.876250000000004,1420.312
500,30,main_tuned,3.066661489396052,7.092275978937075,1630.004
500,30,residual,2.7556674318855916,6.729797979797989,1372.964
500,30,dynamic_gate,2.6556740515946555,6.583998105318178,1370.208
500,30,blend_low_030,2.7091404148866043,6.803689854858644,1444.596
700,0,main_tuned,3.066661489396052,7.092275978937075,1630.004
700,0,residual,2.7214860222532007,6.682042924481,1237.74
700,0,dynamic_gate,2.6174770836993297,6.394551282051318,1235.3
700,0,blend_low_000,2.7214860222532007,6.682042924481,1237.74
700,10,main_tuned,3.066661489396052,7.092275978937075,1630.004
700,10,residual,2.7214860222532007,6.682042924481,1237.74
700,10,dynamic_gate,2.6174770836993297,6.394551282051318,1235.3
700,10,blend_low_010,2.7008378144206713,6.845972222222228,1272.024
700,20,main_tuned,3.066661489396052,7.092275978937075,1630.004
700,20,residual,2.7214860222532007,6.682042924481,1237.74
700,20,dynamic_gate,2.6174770836993297,6.394551282051318,1235.3
700,20,blend_low_020,2.690514572771068,6.864204545454547,1307.256
700,30,main_tuned,3.066661489396052,7.092275978937075,1630.004
700,30,residual,2.7214860222532007,6.682042924481,1237.74
700,30,dynamic_gate,2.6174770836993297,6.394551282051318,1235.3
700,30,blend_low_030,2.6810215716621495,6.666666666666667,1343.464
900,0,main_tuned,3.066661489396052,7.092275978937075,1630.004
900,0,residual,2.7086880444368227,6.534909446388146,1204.396
900,0,dynamic_gate,2.603362966160036,6.3807290036093915,1202.036
900,0,blend_low_000,2.7086880444368227,6.534909446388146,1204.396
900,10,main_tuned,3.066661489396052,7.092275978937075,1630.004
900,10,residual,2.7086880444368227,6.534909446388146,1204.396
900,10,dynamic_gate,2.603362966160036,6.3807290036093915,1202.036
900,10,blend_low_010,2.687582413582018,6.753079710144939,1241.14
900,20,main_tuned,3.066661489396052,7.092275978937075,1630.004
900,20,residual,2.7086880444368227,6.534909446388146,1204.396
900,20,dynamic_gate,2.603362966160036,6.3807290036093915,1202.036
900,20,blend_low_020,2.6759881469911115,6.662554112554113,1279.004
900,30,main_tuned,3.066661489396052,7.092275978937075,1630.004
900,30,residual,2.7086880444368227,6.534909446388146,1204.396
900,30,dynamic_gate,2.603362966160036,6.3807290036093915,1202.036
900,30,blend_low_030,2.6671913084185666,6.653828828828831,1318.024
