EqualityColumn,count,mean_q_error,median_q_error,p95_q_error,max_q_error
ci.person_id,112,8.534902430601361,4.913105413105413,23.40892857142854,128.0
mc.company_id,104,8.173894636658323,2.736553915455272,22.444859813084108,226.33333333333334
ci.role_id,124,5.174467845321432,1.3285611972984306,9.601111111111106,226.33333333333334
mk.keyword_id,173,3.8670525059289735,2.4050632911392404,11.630591375670365,22.666666666666668
mc.company_type_id,129,2.6102596295274254,1.194691394876261,11.38260869565217,33.07142857142857
t.production_year,241,2.2598311200468215,1.2804282185012352,3.2777777777777777,118.875
t.kind_id,322,2.08681129705074,1.284251390032972,3.595885035932197,118.875
mi.info_type_id,90,1.8889045803160138,1.4543836437174127,3.126436712417562,14.610086563793752
mi_idx.info_type_id,74,1.6966848730890427,1.1952550730433056,3.6578282828282767,11.889795918367346
NONE,804,1.16462374261189,1.0806845604991704,1.5564983092419675,4.470558115719406
