PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
mi_idx.info_type_id:=,1,1149.924,1149.924,1149.924,1149.924
mc.company_id:=|mc.company_type_id:<|ci.person_id:<|ci.role_id:=,1,256.0,256.0,256.0,256.0
t.kind_id:=|t.production_year:<|mc.company_id:>|mc.company_type_id:<,1,131.89473684210526,131.89473684210526,131.89473684210526,131.89473684210526
t.kind_id:=|t.production_year:=|ci.role_id:>,2,96.62589929280566,96.62589929280566,181.90008992928057,191.375
t.production_year:<|mc.company_id:=|mc.company_type_id:=|mk.keyword_id:<,1,61.21511627906977,61.21511627906977,61.21511627906977,61.21511627906977
t.production_year:<|mc.company_id:=|mc.company_type_id:=|mi.info_type_id:=,2,47.48136628365827,47.48136628365827,85.48005152198284,89.70212765957447
t.kind_id:<|t.production_year:>|mc.company_id:=|mi.info_type_id:=,1,45.17142857142857,45.17142857142857,45.17142857142857,45.17142857142857
t.kind_id:=|t.production_year:>|ci.role_id:>|mk.keyword_id:=,1,42.55555555555556,42.55555555555556,42.55555555555556,42.55555555555556
mc.company_id:=|ci.person_id:>|ci.role_id:>,1,41.40909090909091,41.40909090909091,41.40909090909091,41.40909090909091
t.kind_id:>|t.production_year:=|mc.company_id:=|mc.company_type_id:<,1,40.0,40.0,40.0,40.0
t.kind_id:>|mc.company_id:=|mi.info_type_id:<,1,35.17942583732057,35.17942583732057,35.17942583732057,35.17942583732057
t.kind_id:=|ci.person_id:=|mk.keyword_id:<,1,35.0,35.0,35.0,35.0
t.kind_id:=|ci.person_id:=,3,34.42013888888889,2.6666666666666665,89.36666666666666,99.0
t.kind_id:=|t.production_year:>|mc.company_id:<|mc.company_type_id:<|mi_idx.info_type_id:>,1,31.928571428571427,31.928571428571427,31.928571428571427,31.928571428571427
t.kind_id:=|t.production_year:<|mc.company_id:=|mc.company_type_id:=,1,30.666666666666668,30.666666666666668,30.666666666666668,30.666666666666668
t.kind_id:=|mc.company_id:=|ci.role_id:=,1,29.866071428571427,29.866071428571427,29.866071428571427,29.866071428571427
t.production_year:=|mc.company_id:=|mc.company_type_id:>,1,28.692307692307693,28.692307692307693,28.692307692307693,28.692307692307693
