TableCombo,count,mean_q_error,median_q_error,p95_q_error,max_q_error
t|mc|ci,79,4.9805857848964745,1.2761513194982073,8.519444444444435,226.33333333333334
ci,163,4.302618937168305,1.1567907087687845,15.528181818181821,128.0
t|ci|mk,103,3.321098217203847,1.1977607396980965,7.254299724404854,118.875
mi,4,3.2628199956192905,1.2670988984945986,8.280262256938409,9.48295003965107
t|mi|mk,90,2.7689934172898703,1.4180885386584856,8.775884502923972,18.15380042462845
t|ci,152,2.7437469009416335,1.2908934490436683,10.349999999999966,35.486486486486484
mc,112,2.6680709352867242,1.0997770779667573,10.557357859531765,33.07142857142857
t|mc,126,2.4994086198231056,1.1835035341529512,7.423780487804878,36.5
t|mc|mi,72,2.2344942330238466,1.257498137370575,5.0138562921971275,28.25609756097561
t|mc|mi_idx,57,2.1934028776749326,1.177263829272286,6.017391304347805,22.523364485981308
t|mc|mk,65,2.143869472201836,1.2955650500703468,5.1069930069930045,22.666666666666668
t|ci|mi,79,2.082154745317994,1.1768094120109704,3.0572866267788505,35.25
t|mk,170,1.849369231264526,1.131771767466729,5.783622828784116,17.70689655172414
mk,180,1.6601834915951588,1.055595889496065,4.571592775041051,14.989655172413793
t|ci|mi_idx,67,1.5469519597550496,1.196833493939718,2.434438691499871,12.1875
t|mi_idx|mk,79,1.519229366028995,1.183421895265083,3.1592921032455914,11.889795918367346
t|mi,103,1.4723460248260885,1.1929679885118762,2.5259185947045437,14.610086563793752
t|mi|mi_idx,79,1.3595812830027005,1.2325658189109874,1.9558213878236013,4.270833333333333
t|mi_idx,69,1.3526770261431365,1.1632226025746106,1.9468550007124201,6.5
t,32,1.2849884973412729,1.172370195997577,1.7295959756846995,2.747227356746765
